utc_timestamp,cpu_percent,rss_bytes,available_memory_bytes,net_bytes_sent,net_bytes_recv,pid,name
2026-09-03T17:00:57.764473+00:00,167.2,205877248,326602752,354449648,1580408504,9384,python.exe
2026-09-03T17:01:21.335612+00:00,0.0,210669568,323600384,354533848,1580472445,9384,python.exe
2026-09-03T17:01:21.857440+00:00,41.9,211357696,320151552,354534998,1580473316,9384,python.exe
2026-09-03T17:01:22.376463+00:00,51.2,211931136,309403648,354540332,1580474780,9384,python.exe
2026-09-03T17:01:23.531457+00:00,108.4,218214400,305704960,354550697,1580477658,9384,python.exe
2026-09-03T17:01:24.695847+00:00,0.0,225284096,279834624,354561500,1580480808,9384,python.exe
2026-09-03T17:01:25.227867+00:00,120.4,215490560,290426880,354562461,1580481543,9384,python.exe
2026-09-03T17:01:26.417275+00:00,0.0,222412800,251715584,354574908,1580489003,9384,python.exe
2026-09-03T17:01:27.769702+00:00,0.0,222670848,287129600,354583451,1580491857,9384,python.exe
2026-09-03T17:01:28.284943+00:00,115.2,224616448,290889728,354587947,1580492964,9384,python.exe
2026-09-03T17:01:29.674160+00:00,0.0,227328000,256286720,354594439,1580495499,9384,python.exe
2026-09-03T17:01:30.861084+00:00,0.0,233590784,263651328,354604771,1580500561,9384,python.exe
2026-09-03T17:01:31.388781+00:00,112.5,226213888,267591680,354605050,1580501110,9384,python.exe
2026-09-03T17:01:32.607427+00:00,87.5,230711296,258936832,354610765,1580503281,9384,python.exe
2026-09-03T17:01:33.799610+00:00,0.0,228478976,263245824,354617146,1580505457,9384,python.exe
2026-09-03T17:01:34.338864+00:00,95.6,234491904,265527296,354627534,1580507537,9384,python.exe
2026-09-03T17:01:34.914617+00:00,114.0,237748224,253415424,354629037,1580511043,9384,python.exe
2026-09-03T17:01:35.504931+00:00,76.8,232513536,181850112,354640259,1580556244,9384,python.exe
2026-09-03T17:01:36.971964+00:00,0.0,231481344,195837952,354666310,1580576923,9384,python.exe
2026-09-03T17:02:57.671849+00:00,94.5,225976320,590426112,355355095,1581449531,9384,python.exe
2026-09-03T17:02:58.186425+00:00,78.9,226058240,590602240,355441542,1581452552,9384,python.exe
2026-09-03T17:02:59.412258+00:00,68.5,231788544,579170304,355448066,1581454888,9384,python.exe
2026-09-03T17:03:00.829242+00:00,69.3,229384192,547479552,355456549,1581458847,9384,python.exe
2026-09-03T17:03:01.360069+00:00,91.2,229900288,511041536,355457531,1581459377,9384,python.exe
2026-09-03T17:03:02.865547+00:00,62.4,235646976,521461760,355467417,1581462345,9384,python.exe
2026-09-03T17:03:04.104300+00:00,0.0,241442816,542146560,355476267,1581465137,9384,python.exe
2026-09-03T17:03:04.700764+00:00,133.6,234254336,558092288,355482033,1581473246,9384,python.exe
2026-09-03T17:03:06.125886+00:00,89.1,239157248,539746304,355487654,1581475203,9384,python.exe
2026-09-03T17:03:07.346557+00:00,0.0,245411840,547270656,355494363,1581476997,9384,python.exe
2026-09-03T17:03:07.893814+00:00,125.6,237334528,588779520,355498587,1581478105,9384,python.exe
2026-09-03T17:03:08.443284+00:00,54.0,238379008,590434304,355499563,1581478568,9384,python.exe
2026-09-03T17:03:09.879757+00:00,0.0,242479104,566063104,355573680,1581489934,9384,python.exe
2026-09-03T17:03:11.398166+00:00,0.0,249581568,525352960,355592794,1581506397,9384,python.exe
2026-09-03T17:03:11.917948+00:00,108.4,244948992,541847552,355598084,1581507685,9384,python.exe
2026-09-03T17:03:12.609048+00:00,122.1,253104128,535834624,355599046,1581508491,9384,python.exe
2026-09-03T17:03:13.268497+00:00,75.8,248971264,535384064,355603481,1581509659,9384,python.exe
2026-09-03T17:03:14.693319+00:00,108.6,247103488,540610560,355610818,1581511760,9384,python.exe
2026-09-03T17:04:57.792693+00:00,0.0,237899776,1560981504,355943809,1581751458,9384,python.exe
2026-09-03T17:04:58.317270+00:00,71.5,238125056,1529655296,355946088,1581752380,9384,python.exe
2026-09-03T17:04:59.480969+00:00,0.0,243806208,1505443840,355950842,1581753586,9384,python.exe
2026-09-03T17:05:00.753990+00:00,0.0,243957760,1491251200,355959305,1581757245,9384,python.exe
2026-09-03T17:05:01.276710+00:00,86.7,244465664,1468383232,355960342,1581757721,9384,python.exe
2026-09-03T17:05:02.588742+00:00,0.0,250011648,1551400960,355965011,1581759352,9384,python.exe
2026-09-03T17:05:03.857083+00:00,95.5,256364544,1553788928,355970499,1581761266,9384,python.exe
2026-09-03T17:05:04.378571+00:00,128.8,249061376,1557315584,355974256,1581762374,9384,python.exe
2026-09-03T17:05:05.558332+00:00,93.2,253882368,1550217216,355978815,1581763143,9384,python.exe
2026-09-03T17:05:06.774729+00:00,109.0,251559936,1515974656,355981464,1581765607,9384,python.exe
2026-09-03T17:05:07.324846+00:00,110.8,253677568,1496748032,355985169,1581766589,9384,python.exe
2026-09-03T17:05:08.542367+00:00,99.7,257679360,1538813952,355986133,1581767118,9384,python.exe
2026-09-03T17:05:09.686995+00:00,0.0,264069120,1525219328,355990889,1581768717,9384,python.exe
2026-09-03T17:05:10.382015+00:00,78.7,258756608,1261961216,355993928,1581770030,9384,python.exe
2026-09-03T17:05:11.057249+00:00,111.1,260399104,1491279872,356006126,1581779791,9384,python.exe
2026-09-03T17:05:13.089743+00:00,120.6,239734784,1545101312,356025931,1581794790,9384,python.exe
2026-09-03T17:10:15.841882+00:00,0.0,237518848,1689636864,357875560,1583122461,9384,python.exe
