run_id,latency_set,n_submitted,n_warmup_excluded,n_measured,n_accepted,n_expected_rejection,n_unexpected,n_timeout,n_internal_error,failure_rate_pct,attack_rejection_rate_pct,false_acceptances,false_rejections,completed_throughput_rps,offered_load_rps,n,filter_rule,mean_ms,median_ms,std_ms,min_ms,max_ms,p95_ms,p99_ms,ci95_low_ms,ci95_high_ms,ci_method,n_identities,concurrency,mechanism,scenario,audit_tx
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234423Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,27.99400555025851,29.86027258694241,30,warmup==false; include all finished decisions,158.91037000000003,154.4057,34.66968028639424,91.0347,235.5329,203.17061,226.27523000000005,146.73579874999996,171.08881658333334,scipy.stats.bootstrap percentile 10000 resamples 95%,10,10,blockchain,valid_active,False
n10-identities_c10-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234423Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,27.99400555025851,29.86027258694241,30,warmup==false AND observed_outcome==ACCEPTED,158.91037000000003,154.4057,34.66968028639424,91.0347,235.5329,203.17061,226.27523000000005,146.73579874999996,171.08881658333334,scipy.stats.bootstrap percentile 10000 resamples 95%,10,10,blockchain,valid_active,False
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234426Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,59.57250768576373,63.54400819814798,30,warmup==false; include all finished decisions,56.61759333333334,49.0887,37.76579172303342,12.4027,136.9814,123.422275,133.175382,43.92316175,70.53724716666666,scipy.stats.bootstrap percentile 10000 resamples 95%,10,25,x509,valid_active,False
n10-identities_c25-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234426Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,59.57250768576373,63.54400819814798,30,warmup==false AND observed_outcome==ACCEPTED,56.61759333333334,49.0887,37.76579172303342,12.4027,136.9814,123.422275,133.175382,43.92316175,70.53724716666666,scipy.stats.bootstrap percentile 10000 resamples 95%,10,25,x509,valid_active,False
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234428Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,17.612535146476624,18.786704156241733,30,warmup==false; include all finished decisions,404.1351000000001,428.01705,120.21851219254448,155.647,613.2933,563.9378849999999,603.275076,361.3915394999999,446.00615975,scipy.stats.bootstrap percentile 10000 resamples 95%,10,25,blockchain,valid_active,False
n10-identities_c25-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234428Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,17.612535146476624,18.786704156241733,30,warmup==false AND observed_outcome==ACCEPTED,404.1351000000001,428.01705,120.21851219254448,155.647,613.2933,563.9378849999999,603.275076,361.3915394999999,446.00615975,scipy.stats.bootstrap percentile 10000 resamples 95%,10,25,blockchain,valid_active,False
n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234430Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,28.91262786996084,30.84013639462489,30,warmup==false; include all finished decisions,80.50240000000001,79.65955,31.684896524391224,33.6667,147.8593,134.52882,144.63165800000002,69.43099483333334,91.79689825,scipy.stats.bootstrap percentile 10000 resamples 95%,10,50,x509,valid_active,False
n10-identities_c50-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234430Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,28.91262786996084,30.84013639462489,30,warmup==false AND observed_outcome==ACCEPTED,80.50240000000001,79.65955,31.684896524391224,33.6667,147.8593,134.52882,144.63165800000002,69.43099483333334,91.79689825,scipy.stats.bootstrap percentile 10000 resamples 95%,10,50,x509,valid_active,False
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234433Z,all_finished,32,2,30,30,0,0,0,0,0.0,,0,0,26.98653021294832,28.78563222714487,30,warmup==false; include all finished decisions,369.0814233333333,383.1522,76.01035684908537,200.2223,524.4093,480.1633199999999,517.5692730000001,341.85835083333325,395.46674958333335,scipy.stats.bootstrap percentile 10000 resamples 95%,10,50,blockchain,valid_active,False
n10-identities_c50-conc_mech-blockchain-1backend_valid-active_r30_audit-off_20260824T234433Z,accepted_only,32,2,30,30,0,0,0,0,0.0,,0,0,26.98653021294832,28.78563222714487,30,warmup==false AND observed_outcome==ACCEPTED,369.0814233333333,383.1522,76.01035684908537,200.2223,524.4093,480.1633199999999,517.5692730000001,341.85835083333325,395.46674958333335,scipy.stats.bootstrap percentile 10000 resamples 95%,10,50,blockchain,valid_active,False
