run_id,observation_id,utc_timestamp,mechanism,scenario,repetition,concurrency_level,uav_id,expected_outcome,observed_outcome,expectation_met,decision_latency_ns,decision_latency_ms,challenge_generation_ns,identity_lookup_ns,certificate_validation_ns,contract_call_ns,signature_verification_ns,authorisation_check_ns,audit_submission_ns,audit_confirmation_ns,tx_hash,block_number,gas_used,timeout_error_class,worker_id,payload_size,warmup,request_bytes,response_bytes,notes
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_60ae336d625348bb9430e194d846034c,2026-08-24T23:36:36.359073+00:00,x509,valid_active,12,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1807300,1.8073,43200,83100,1469000,0,153800,4600,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_bfa4126438994011a4728979280ae3eb,2026-08-24T23:36:36.366219+00:00,x509,valid_active,13,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2089500,2.0895,35700,72400,1663400,0,189200,5900,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_054d78f426a141efa084b033114202a6,2026-08-24T23:36:36.375026+00:00,x509,valid_active,14,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1798000,1.798,39200,78300,1458300,0,164700,4400,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_5f8c1295bf864ca49eaf6cf3fd8453a1,2026-08-24T23:36:36.383779+00:00,x509,valid_active,15,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2095400,2.0954,32300,70400,1744600,0,179100,5800,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_dba3cc6bede640e0b659d6390153b675,2026-08-24T23:36:36.391947+00:00,x509,valid_active,16,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1700800,1.7008,37700,80000,1364600,0,155700,4800,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_0df44903fdb641e0b462a571f36836cb,2026-08-24T23:36:36.401200+00:00,x509,valid_active,17,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2762400,2.7624,53100,140400,2316100,0,166100,4500,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_46072672e4b84cd0a0c3ac8779184bb0,2026-08-24T23:36:36.409596+00:00,x509,valid_active,18,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1778300,1.7783,42000,71500,1452200,0,165300,4400,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_58b989cb8186422c9f31f7eb3959b8a4,2026-08-24T23:36:36.419513+00:00,x509,valid_active,19,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2418900,2.4189,66200,133700,1935500,0,199100,7200,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_3cdb8e887d434c2080ec96bb4f52962f,2026-08-24T23:36:36.427405+00:00,x509,valid_active,20,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1623500,1.6235,39800,75000,1308700,0,153400,4400,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_2ce372a1233f49ac916769746317b2d1,2026-08-24T23:36:36.436272+00:00,x509,valid_active,21,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2033100,2.0331,52400,95900,1594200,0,206000,5800,0,0,,,,none,x509-valid_active_0,0,False,240,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_95ffbfaf84d44c4b9557523357ffa0ec,2026-08-24T23:36:36.445603+00:00,x509,valid_active,22,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1871500,1.8715,46300,91400,1424400,0,233900,7700,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_aceadf1d1c034b7e997325179474a641,2026-08-24T23:36:36.456655+00:00,x509,valid_active,23,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2319800,2.3198,66700,177300,1792200,0,193500,5400,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_30bf9e6a8d6043b6ba3be0c0a8823fd8,2026-08-24T23:36:36.465970+00:00,x509,valid_active,24,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2114900,2.1149,49500,97100,1521700,0,203600,7000,0,0,,,,none,x509-valid_active_0,0,False,238,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_d10939ce81784a2db44dfe0554e99ce2,2026-08-24T23:36:36.481188+00:00,x509,valid_active,25,1,UAV-VALID,ACCEPTED,ACCEPTED,True,2139700,2.1397,56800,256100,1553200,0,169500,5800,0,0,,,,none,x509-valid_active_0,0,False,239,8,
n10-identities_c1-conc_mech-x509-1backend_security-battery_r30_audit-off_20260824T233608Z,obs_c9ac853c4c65486da9948bfada70ffb6,2026-08-24T23:36:36.489750+00:00,x509,valid_active,26,1,UAV-VALID,ACCEPTED,ACCEPTED,True,1686600,1.6866,48200,74500,1274900,0,230600,6200,0,0,,,,none,x509-valid_active_0,0,False,239,8,
