utc_timestamp,cpu_percent,rss_bytes,available_memory_bytes,net_bytes_sent,net_bytes_recv,pid,name
2026-08-31T02:13:33.830431+00:00,61.4,204574720,962621440,257540171,1445534581,3836,python.exe
2026-08-31T02:13:34.347844+00:00,99.7,208175104,960823296,257551398,1445539836,3836,python.exe
2026-08-31T02:13:34.869984+00:00,125.7,208187392,955187200,257561842,1445581096,3836,python.exe
2026-08-31T02:13:35.386319+00:00,118.0,208175104,965074944,257567092,1445583748,3836,python.exe
2026-08-31T02:13:35.904194+00:00,108.6,208187392,963497984,257567983,1445584281,3836,python.exe
2026-08-31T02:13:36.422249+00:00,117.6,208179200,969494528,257570776,1445584926,3836,python.exe
2026-08-31T02:13:36.940049+00:00,3.0,208179200,966766592,257571600,1445585636,3836,python.exe
2026-08-31T02:13:37.461188+00:00,6.0,208179200,969003008,257576920,1445589412,3836,python.exe
2026-08-31T02:13:37.981518+00:00,12.0,208179200,969338880,257581306,1445590499,3836,python.exe
2026-08-31T02:13:38.503984+00:00,6.0,208179200,983654400,257584887,1445596534,3836,python.exe
2026-08-31T02:13:39.030511+00:00,20.8,208179200,974913536,257592060,1445607995,3836,python.exe
2026-08-31T02:13:39.554814+00:00,6.0,208179200,974000128,257592938,1445609363,3836,python.exe
2026-08-31T02:13:40.078635+00:00,14.9,208179200,973893632,257598015,1445610844,3836,python.exe
2026-08-31T02:13:40.596019+00:00,24.2,208187392,970985472,257602193,1445617021,3836,python.exe
2026-08-31T02:13:41.124142+00:00,118.3,208179200,963215360,257606433,1445617436,3836,python.exe
2026-08-31T02:13:41.642755+00:00,114.5,208187392,990007296,257607405,1445618649,3836,python.exe
2026-08-31T02:13:51.224177+00:00,0.0,213102592,949714944,257698014,1445788721,3836,python.exe
2026-08-31T02:13:51.794826+00:00,57.5,213229568,956444672,257701374,1445871230,3836,python.exe
2026-08-31T02:13:52.315647+00:00,81.0,213229568,947539968,257714322,1445911458,3836,python.exe
2026-08-31T02:13:52.840621+00:00,71.4,213229568,950738944,257720616,1445917943,3836,python.exe
2026-08-31T02:13:53.366725+00:00,80.2,213229568,932016128,257726793,1445919890,3836,python.exe
2026-08-31T02:13:53.889175+00:00,74.8,213229568,937336832,257730282,1445922262,3836,python.exe
2026-08-31T02:13:54.409902+00:00,69.0,213241856,976101376,257734708,1445923404,3836,python.exe
2026-08-31T02:13:54.927022+00:00,75.5,213241856,984039424,257737485,1445924764,3836,python.exe
2026-08-31T02:13:55.453544+00:00,95.0,213250048,957886464,257738446,1445925601,3836,python.exe
2026-08-31T02:13:55.979980+00:00,71.2,213250048,962224128,257746666,1445928281,3836,python.exe
2026-08-31T02:13:56.496115+00:00,78.7,213270528,966868992,257747653,1445928954,3836,python.exe
2026-08-31T02:13:57.034542+00:00,78.4,213286912,972517376,257751893,1445929555,3836,python.exe
2026-08-31T02:13:57.554850+00:00,30.0,213360640,958226432,257766556,1445933815,3836,python.exe
2026-08-31T02:13:58.072392+00:00,6.0,213360640,961736704,257768260,1445934511,3836,python.exe
2026-08-31T02:13:58.589412+00:00,12.1,213360640,969760768,257772609,1445935637,3836,python.exe
2026-08-31T02:13:59.111348+00:00,6.0,213360640,961728512,257773433,1445936347,3836,python.exe
2026-08-31T02:13:59.632634+00:00,3.0,213360640,959397888,257778498,1445937527,3836,python.exe
2026-08-31T02:14:00.154577+00:00,3.0,213360640,951824384,257779821,1445938122,3836,python.exe
2026-08-31T02:14:00.673145+00:00,9.0,213360640,961941504,257784115,1445938750,3836,python.exe
2026-08-31T02:14:01.191398+00:00,3.0,213360640,948604928,257784993,1445939979,3836,python.exe
2026-08-31T02:14:01.714102+00:00,59.8,213692416,957952000,257786626,1445940547,3836,python.exe
2026-08-31T02:14:02.246299+00:00,85.1,213741568,923197440,257790992,1445941734,3836,python.exe
2026-08-31T02:14:02.768053+00:00,65.9,213749760,940728320,257791974,1445942885,3836,python.exe
2026-08-31T02:14:03.286474+00:00,78.4,214118400,928325632,257796268,1445943650,3836,python.exe
2026-08-31T02:14:03.806359+00:00,3.0,214118400,931946496,257797092,1445944300,3836,python.exe
2026-08-31T02:14:04.325281+00:00,0.0,214126592,927281152,257798687,1445944935,3836,python.exe
2026-08-31T02:14:04.841917+00:00,3.0,214126592,939847680,257803265,1445946186,3836,python.exe
2026-08-31T02:14:05.366148+00:00,0.0,214126592,932151296,257804499,1445947150,3836,python.exe
2026-08-31T02:14:05.885288+00:00,0.0,214126592,937615360,257809651,1445948406,3836,python.exe
2026-08-31T02:14:06.404785+00:00,0.0,214126592,939155456,257810601,1445948949,3836,python.exe
2026-08-31T02:14:06.924373+00:00,3.0,214126592,941985792,257815048,1445950510,3836,python.exe
2026-08-31T02:14:07.438967+00:00,0.0,214126592,937201664,257821181,1445954016,3836,python.exe
2026-08-31T02:14:07.953732+00:00,3.0,214126592,940478464,257822153,1445954464,3836,python.exe
2026-08-31T02:14:08.471973+00:00,0.0,214126592,935395328,257826435,1445955879,3836,python.exe
2026-08-31T02:14:09.243306+00:00,0.0,214126592,1010274304,257830125,1445956428,3836,python.exe
2026-08-31T02:14:09.764996+00:00,6.0,214130688,1052086272,257838074,1445959687,3836,python.exe
2026-08-31T02:14:10.282589+00:00,0.0,214134784,1060274176,257851402,1445978153,3836,python.exe
2026-08-31T02:14:10.802642+00:00,0.0,214134784,1107951616,257860656,1445985682,3836,python.exe
