utc_timestamp,cpu_percent,rss_bytes,available_memory_bytes,net_bytes_sent,net_bytes_recv,pid,name
2026-08-20T02:00:52.468451+00:00,0.0,217022464,453341184,890528915,5404882499,34112,python.exe
2026-08-20T02:00:53.045163+00:00,32.5,217260032,433803264,890528915,5404882565,34112,python.exe
2026-08-20T02:00:53.599616+00:00,59.2,217501696,426655744,890529024,5404882691,34112,python.exe
2026-08-20T02:00:54.138048+00:00,69.6,217563136,442691584,890529024,5404882691,34112,python.exe
2026-08-20T02:00:54.765616+00:00,29.9,212017152,444592128,890536227,5404893336,34112,python.exe
2026-08-20T02:00:55.306939+00:00,40.4,212021248,449413120,890536352,5404894156,34112,python.exe
2026-08-20T02:00:55.841631+00:00,46.8,211980288,464879616,890536554,5404894282,34112,python.exe
2026-08-20T02:00:56.380284+00:00,63.8,212021248,470622208,890536609,5404894414,34112,python.exe
2026-08-20T02:00:56.930706+00:00,59.6,212021248,479944704,890536897,5404894759,34112,python.exe
2026-08-20T02:00:57.462379+00:00,44.1,212021248,486920192,890536897,5404894759,34112,python.exe
2026-08-20T02:00:57.997304+00:00,58.4,212021248,482246656,890536952,5404894825,34112,python.exe
2026-08-20T02:00:58.601233+00:00,44.0,212021248,493703168,890536952,5404894825,34112,python.exe
2026-08-20T02:00:59.132637+00:00,64.7,211959808,484016128,890540357,5404896763,34112,python.exe
2026-08-20T02:00:59.664780+00:00,55.8,212021248,486940672,890540411,5404896879,34112,python.exe
2026-08-20T02:01:00.236711+00:00,30.1,212021248,487596032,890540466,5404897039,34112,python.exe
2026-08-20T02:01:00.803504+00:00,33.1,212021248,490172416,890541134,5404897651,34112,python.exe
2026-08-20T02:01:01.338191+00:00,40.9,212025344,498462720,890541244,5404897783,34112,python.exe
2026-08-20T02:01:01.884666+00:00,57.2,212025344,509059072,890541446,5404897942,34112,python.exe
2026-08-20T02:01:02.447687+00:00,13.9,212025344,498810880,890541501,5404898008,34112,python.exe
2026-08-20T02:01:02.993966+00:00,42.9,212025344,478646272,890541609,5404898128,34112,python.exe
2026-08-20T02:01:03.556268+00:00,38.9,211963904,478892032,890541718,5404898254,34112,python.exe
2026-08-20T02:01:04.086595+00:00,26.5,211963904,466014208,890541826,5404902699,34112,python.exe
2026-08-20T02:01:04.640234+00:00,5.6,211963904,459149312,890543373,5404903935,34112,python.exe
2026-08-20T02:01:05.209245+00:00,13.7,211963904,463425536,890546515,5404925558,34112,python.exe
2026-08-20T02:01:05.763196+00:00,14.1,211963904,453832704,890547586,5404925864,34112,python.exe
2026-08-20T02:01:06.306688+00:00,8.6,211963904,468946944,890548335,5404946909,34112,python.exe
2026-08-20T02:01:06.857687+00:00,2.8,211963904,470126592,890550615,5404950927,34112,python.exe
2026-08-20T02:01:07.406542+00:00,14.2,212029440,481710080,890554151,5404957237,34112,python.exe
2026-08-20T02:01:07.934054+00:00,35.5,212029440,484106240,890554261,5404957369,34112,python.exe
2026-08-20T02:01:08.486805+00:00,42.4,212029440,477872128,890554261,5404957369,34112,python.exe
2026-08-20T02:01:09.038645+00:00,19.8,212033536,474906624,890554371,5404957501,34112,python.exe
2026-08-20T02:01:09.570846+00:00,55.8,212037632,481980416,890554371,5404957561,34112,python.exe
2026-08-20T02:01:10.098346+00:00,44.4,212037632,490156032,890554481,5404957693,34112,python.exe
2026-08-20T02:01:10.628213+00:00,53.1,211996672,471986176,890558968,5404958747,34112,python.exe
2026-08-20T02:01:11.154665+00:00,0.0,211996672,504791040,890559077,5404959172,34112,python.exe
2026-08-20T02:01:11.733376+00:00,0.0,212004864,500371456,890559308,5404959529,34112,python.exe
2026-08-20T02:01:12.259649+00:00,0.0,212004864,505749504,890559418,5404959595,34112,python.exe
2026-08-20T02:01:12.817868+00:00,2.8,212004864,467079168,890559634,5404959835,34112,python.exe
2026-08-20T02:01:13.343017+00:00,0.0,212008960,462082048,890559690,5404959901,34112,python.exe
2026-08-20T02:01:13.868551+00:00,0.0,212008960,499425280,890559744,5404960021,34112,python.exe
2026-08-20T02:01:14.395603+00:00,0.0,212008960,467509248,890559799,5404960102,34112,python.exe
2026-08-20T02:01:14.937693+00:00,2.9,212008960,490262528,890559884,5404960288,34112,python.exe
2026-08-20T02:01:15.471041+00:00,0.0,212008960,485781504,890564828,5404963734,34112,python.exe
2026-08-20T02:01:15.999907+00:00,0.0,212008960,524267520,890564920,5404963920,34112,python.exe
2026-08-20T02:01:16.522179+00:00,3.0,212008960,518467584,890564975,5404964046,34112,python.exe
2026-08-20T02:01:17.066051+00:00,0.0,212008960,527863808,890565085,5404964178,34112,python.exe
2026-08-20T02:01:17.606426+00:00,2.9,212017152,518012928,890565140,5404964304,34112,python.exe
2026-08-20T02:01:18.192678+00:00,0.0,212017152,533041152,890565261,5404964370,34112,python.exe
2026-08-20T02:01:18.727077+00:00,0.0,212017152,533446656,890565316,5404964430,34112,python.exe
2026-08-20T02:01:19.252856+00:00,3.0,212017152,535044096,890565383,5404964496,34112,python.exe
2026-08-20T02:01:19.783265+00:00,0.0,212017152,534011904,890565439,5404964622,34112,python.exe
2026-08-20T02:01:20.308675+00:00,3.0,212017152,535801856,890565548,5404964782,34112,python.exe
2026-08-20T02:01:20.833964+00:00,3.0,212017152,539291648,890565788,5404965055,34112,python.exe
2026-08-20T02:01:21.399076+00:00,2.8,212017152,540286976,890565964,5404965121,34112,python.exe
2026-08-20T02:01:21.947027+00:00,2.9,212017152,518828032,890570598,5404966473,34112,python.exe
2026-08-20T02:01:22.574452+00:00,2.5,212017152,506216448,890570816,5404966876,34112,python.exe
2026-08-20T02:01:23.104362+00:00,2.9,212017152,492912640,890571120,5404967652,34112,python.exe
2026-08-20T02:01:23.640654+00:00,0.0,212017152,494366720,890571947,5404967898,34112,python.exe
2026-08-20T02:01:24.203771+00:00,0.0,212017152,496381952,890572502,5404968678,34112,python.exe
2026-08-20T02:01:24.727515+00:00,6.0,212017152,494596096,890573881,5404974580,34112,python.exe
2026-08-20T02:01:25.250844+00:00,0.0,212017152,506556416,890574230,5404975064,34112,python.exe
2026-08-20T02:01:25.787056+00:00,0.0,212017152,506900480,890574393,5404975383,34112,python.exe
2026-08-20T02:01:26.312742+00:00,0.0,212017152,528723968,890574393,5404975383,34112,python.exe
2026-08-20T02:01:26.839655+00:00,0.0,212017152,528195584,890574680,5404975782,34112,python.exe
2026-08-20T02:01:27.368158+00:00,5.9,211951616,530354176,890574777,5404975908,34112,python.exe
2026-08-20T02:01:27.899175+00:00,2.9,211951616,530677760,890574832,5404976034,34112,python.exe
2026-08-20T02:01:28.425147+00:00,0.0,211959808,524087296,890574833,5404976034,34112,python.exe
2026-08-20T02:01:28.999762+00:00,2.7,211959808,539754496,890574889,5404976100,34112,python.exe
2026-08-20T02:01:29.544958+00:00,0.0,211959808,524558336,890574889,5404976100,34112,python.exe
2026-08-20T02:01:30.077449+00:00,0.0,211959808,558379008,890574945,5404976166,34112,python.exe
2026-08-20T02:01:30.602710+00:00,0.0,211959808,573779968,890575559,5404976719,34112,python.exe
2026-08-20T02:01:31.132111+00:00,0.0,211959808,558854144,890575669,5404976938,34112,python.exe
2026-08-20T02:01:31.704347+00:00,5.5,211963904,563372032,890575807,5404977142,34112,python.exe
2026-08-20T02:01:32.238159+00:00,0.0,211963904,563564544,890576063,5404977602,34112,python.exe
2026-08-20T02:01:32.814684+00:00,0.0,211963904,531304448,890576229,5404977800,34112,python.exe
2026-08-20T02:01:33.362199+00:00,0.0,211963904,576958464,890576392,5404977986,34112,python.exe
2026-08-20T02:01:33.900602+00:00,0.0,211972096,552599552,890576658,5404978744,34112,python.exe
2026-08-20T02:01:34.442342+00:00,5.8,211972096,528789504,890580220,5404979002,34112,python.exe
2026-08-20T02:01:35.034388+00:00,2.6,211972096,531501056,890580489,5404979002,34112,python.exe
2026-08-20T02:01:35.580418+00:00,2.9,211972096,527269888,890582995,5404984573,34112,python.exe
2026-08-20T02:01:36.113582+00:00,2.9,211972096,556838912,890584294,5404985478,34112,python.exe
2026-08-20T02:01:36.652658+00:00,2.9,211972096,545234944,890588174,5404986970,34112,python.exe
2026-08-20T02:01:37.180720+00:00,3.0,211972096,567746560,890593014,5404995108,34112,python.exe
2026-08-20T02:01:37.703697+00:00,0.0,211972096,560279552,890596628,5405004093,34112,python.exe
2026-08-20T02:01:38.233562+00:00,0.0,211972096,564535296,890598337,5405009145,34112,python.exe
2026-08-20T02:01:38.761002+00:00,3.0,211972096,556441600,890600893,5405015578,34112,python.exe
2026-08-20T02:01:39.288560+00:00,3.0,211972096,558518272,890602143,5405018093,34112,python.exe
2026-08-20T02:01:39.813227+00:00,0.0,211972096,551923712,890603474,5405018725,34112,python.exe
2026-08-20T02:01:40.333753+00:00,3.0,211972096,545419264,890605164,5405029176,34112,python.exe
2026-08-20T02:01:40.919111+00:00,0.0,211972096,502427648,890611347,5405037017,34112,python.exe
2026-08-20T02:01:41.667374+00:00,2.1,211972096,497131520,890611859,5405039952,34112,python.exe
2026-08-20T02:01:42.221694+00:00,0.0,211972096,500031488,890612921,5405040375,34112,python.exe
2026-08-20T02:01:43.055156+00:00,0.0,211972096,466255872,890613085,5405040919,34112,python.exe
2026-08-20T02:01:43.675984+00:00,0.0,211972096,456642560,890613193,5405041039,34112,python.exe
2026-08-20T02:01:44.234221+00:00,2.8,211972096,435007488,890613314,5405041105,34112,python.exe
2026-08-20T02:01:44.771942+00:00,0.0,211972096,481103872,890613979,5405046731,34112,python.exe
2026-08-20T02:01:45.303777+00:00,2.9,211972096,490020864,890615259,5405047469,34112,python.exe
2026-08-20T02:01:45.891812+00:00,5.3,211972096,496570368,890615834,5405048277,34112,python.exe
2026-08-20T02:01:46.442346+00:00,0.0,211972096,563912704,890616123,5405048787,34112,python.exe
2026-08-20T02:01:47.077242+00:00,0.0,211972096,535568384,890617261,5405049641,34112,python.exe
2026-08-20T02:01:47.630043+00:00,0.0,211972096,577191936,890663735,5405058915,34112,python.exe
2026-08-20T02:01:48.227553+00:00,0.0,211972096,566235136,890663887,5405059041,34112,python.exe
2026-08-20T02:01:48.792497+00:00,2.8,211972096,561254400,890665124,5405060010,34112,python.exe
2026-08-20T02:01:49.349296+00:00,0.0,211972096,567033856,890665179,5405060076,34112,python.exe
2026-08-20T02:01:49.891155+00:00,2.9,211972096,577613824,890665768,5405061011,34112,python.exe
2026-08-20T02:01:50.444484+00:00,0.0,211972096,565514240,890673258,5405066153,34112,python.exe
2026-08-20T02:01:50.991650+00:00,5.7,211972096,545079296,890674833,5405070120,34112,python.exe
2026-08-20T02:01:51.564896+00:00,2.7,211972096,538030080,890680284,5405071403,34112,python.exe
2026-08-20T02:01:52.088390+00:00,0.0,211972096,557101056,890681378,5405076297,34112,python.exe
